Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_61,VDD,Metal1,36.7290,178.2580,1.199996
FILLER_43_54,VDD,Metal1,33.3690,178.2580,1.199996
FILLER_43_47,VDD,Metal1,30.0090,178.2580,1.199997
FILLER_43_42,VDD,Metal1,26.1600,177.6600,1.199997
FILLER_43_35,VDD,Metal1,24.2490,178.2580,1.199998
FILLER_43_28,VDD,Metal1,20.8890,178.2580,1.199998
FILLER_43_21,VDD,Metal1,17.5290,178.2580,1.199999
FILLER_43_14,VDD,Metal1,14.1690,178.2580,1.199999
FILLER_43_7,VDD,Metal1,10.8090,178.2580,1.199999
FILLER_43_0,VDD,Metal1,7.4490,178.2580,1.199999
FILLER_42_1100,VDD,Metal1,534.0000,177.6600,1.199962
FILLER_42_1093,VDD,Metal1,532.0890,177.0610,1.199962
FILLER_42_1086,VDD,Metal1,528.7290,177.0610,1.199962
FILLER_42_1079,VDD,Metal1,525.3690,177.0610,1.199962
FILLER_42_1072,VDD,Metal1,522.0090,177.0610,1.199962
FILLER_42_1065,VDD,Metal1,518.6490,177.0610,1.199962
FILLER_42_1058,VDD,Metal1,515.2890,177.0610,1.199962
FILLER_42_1051,VDD,Metal1,511.9290,177.0610,1.199962
FILLER_42_1044,VDD,Metal1,508.5690,177.0610,1.199971
FILLER_42_1037,VDD,Metal1,505.2090,177.0610,1.199971
FILLER_42_1030,VDD,Metal1,501.8490,177.0610,1.199972
FILLER_42_1023,VDD,Metal1,498.4890,177.0610,1.199972
FILLER_42_1016,VDD,Metal1,495.1290,177.0610,1.199973
FILLER_42_1009,VDD,Metal1,491.7690,177.0610,1.199974
FILLER_42_1002,VDD,Metal1,488.4090,177.0610,1.199974
FILLER_42_995,VDD,Metal1,485.0490,177.0610,1.199975
FILLER_42_988,VDD,Metal1,481.6890,177.0610,1.199975
FILLER_42_981,VDD,Metal1,478.3290,177.0610,1.199976
FILLER_42_974,VDD,Metal1,474.9690,177.0610,1.199976
FILLER_42_967,VDD,Metal1,471.6090,177.0610,1.199977
FILLER_42_960,VDD,Metal1,468.2490,177.0610,1.199962
FILLER_42_953,VDD,Metal1,464.8890,177.0610,1.199953
FILLER_42_946,VDD,Metal1,461.5290,177.0610,1.199945
FILLER_42_939,VDD,Metal1,458.1690,177.0610,1.199937
FILLER_42_932,VDD,Metal1,454.8090,177.0610,1.199928
FILLER_42_869,VDD,Metal1,423.1200,177.6600,1.199856
FILLER_42_852,VDD,Metal1,414.9600,177.6600,1.199855
FILLER_42_832,VDD,Metal1,405.3600,177.6600,1.199902
FILLER_42_830,VDD,Metal1,404.6400,177.6600,1.199905
FILLER_42_792,VDD,Metal1,386.1600,177.6600,1.199888
FILLER_42_788,VDD,Metal1,384.9710,177.0630,1.199845
FILLER_42_761,VDD,Metal1,371.2800,177.6600,1.199801
FILLER_42_722,VDD,Metal1,352.8000,177.6600,1.199795
FILLER_42_718,VDD,Metal1,351.3710,177.0630,1.199795
FILLER_42_711,VDD,Metal1,348.7290,177.0610,1.199856
FILLER_42_704,VDD,Metal1,345.3690,177.0610,1.199860
FILLER_42_697,VDD,Metal1,342.0090,177.0610,1.199864
FILLER_42_666,VDD,Metal1,325.6800,177.6600,1.199960
FILLER_42_662,VDD,Metal1,324.4910,177.0630,1.199960
FILLER_42_655,VDD,Metal1,321.8490,177.0610,1.199965
FILLER_42_648,VDD,Metal1,318.4890,177.0610,1.199953
FILLER_42_641,VDD,Metal1,315.1290,177.0610,1.199942
FILLER_42_567,VDD,Metal1,278.4000,177.6600,1.199783
FILLER_42_560,VDD,Metal1,276.2490,177.0610,1.199783
FILLER_42_553,VDD,Metal1,272.8890,177.0610,1.199785
FILLER_42_512,VDD,Metal1,252.4910,177.0630,1.199858
FILLER_42_502,VDD,Metal1,246.9600,177.6600,1.199933
FILLER_42_500,VDD,Metal1,246.2400,177.6600,1.199933
FILLER_42_456,VDD,Metal1,224.8800,177.6600,1.199751
FILLER_42_454,VDD,Metal1,224.1600,177.6600,1.199751
FILLER_42_409,VDD,Metal1,202.5600,177.6600,1.199736
FILLER_42_405,VDD,Metal1,201.1310,177.0630,1.199736
FILLER_42_398,VDD,Metal1,198.4890,177.0610,1.199732
FILLER_42_385,VDD,Metal1,191.5310,177.0630,1.199652
FILLER_42_365,VDD,Metal1,181.2000,177.6600,1.199842
FILLER_42_361,VDD,Metal1,180.0110,177.0630,1.199972
FILLER_42_351,VDD,Metal1,174.4800,177.6600,1.199982
FILLER_42_347,VDD,Metal1,173.2910,177.0630,1.199983
FILLER_42_340,VDD,Metal1,170.6490,177.0610,1.199984
FILLER_42_326,VDD,Metal1,162.4800,177.6600,1.199834
FILLER_42_324,VDD,Metal1,161.7600,177.6600,1.199834
FILLER_42_317,VDD,Metal1,159.6090,177.0610,1.199834
FILLER_42_294,VDD,Metal1,147.1200,177.6600,1.199853
FILLER_42_287,VDD,Metal1,145.2090,177.0610,1.199853
FILLER_42_280,VDD,Metal1,141.8490,177.0610,1.199931
FILLER_42_273,VDD,Metal1,138.4890,177.0610,1.199937
FILLER_42_266,VDD,Metal1,135.1290,177.0610,1.199942
FILLER_42_259,VDD,Metal1,131.7690,177.0610,1.199947
FILLER_42_252,VDD,Metal1,128.4090,177.0610,1.199952
FILLER_42_245,VDD,Metal1,125.0490,177.0610,1.199957
FILLER_42_238,VDD,Metal1,121.6890,177.0610,1.199963
FILLER_42_231,VDD,Metal1,118.3290,177.0610,1.199968
FILLER_42_224,VDD,Metal1,114.9690,177.0610,1.199973
FILLER_42_217,VDD,Metal1,111.6090,177.0610,1.199974
FILLER_42_210,VDD,Metal1,108.2490,177.0610,1.199978
FILLER_42_203,VDD,Metal1,104.8890,177.0610,1.199981
FILLER_42_196,VDD,Metal1,101.5290,177.0610,1.199985
FILLER_42_189,VDD,Metal1,98.1690,177.0610,1.199988
FILLER_42_182,VDD,Metal1,94.8090,177.0610,1.199991
FILLER_42_175,VDD,Metal1,91.4490,177.0610,1.199991
FILLER_42_168,VDD,Metal1,88.0890,177.0610,1.199992
FILLER_42_161,VDD,Metal1,84.7290,177.0610,1.199992
FILLER_42_154,VDD,Metal1,81.3690,177.0610,1.199992
FILLER_42_147,VDD,Metal1,78.0090,177.0610,1.199992
FILLER_42_140,VDD,Metal1,74.6490,177.0610,1.199992
FILLER_42_133,VDD,Metal1,71.2890,177.0610,1.199992
FILLER_42_126,VDD,Metal1,67.9290,177.0610,1.199992
FILLER_42_119,VDD,Metal1,64.5690,177.0610,1.199992
FILLER_42_112,VDD,Metal1,61.2090,177.0610,1.199993
FILLER_42_105,VDD,Metal1,57.8490,177.0610,1.199993
FILLER_42_98,VDD,Metal1,54.4890,177.0610,1.199994
FILLER_42_91,VDD,Metal1,51.1290,177.0610,1.199994
FILLER_42_84,VDD,Metal1,47.7690,177.0610,1.199994
FILLER_42_77,VDD,Metal1,44.4090,177.0610,1.199995
FILLER_42_70,VDD,Metal1,41.0490,177.0610,1.199995
FILLER_42_63,VDD,Metal1,37.6890,177.0610,1.199996
FILLER_42_56,VDD,Metal1,34.3290,177.0610,1.199996
FILLER_42_49,VDD,Metal1,30.9690,177.0610,1.199997
FILLER_42_42,VDD,Metal1,27.6090,177.0610,1.199997
FILLER_42_35,VDD,Metal1,24.2490,177.0610,1.199998
FILLER_42_28,VDD,Metal1,20.8890,177.0610,1.199998
FILLER_42_21,VDD,Metal1,17.5290,177.0610,1.199999
FILLER_42_14,VDD,Metal1,14.1690,177.0610,1.199999
FILLER_42_7,VDD,Metal1,10.8090,177.0610,1.199999
FILLER_42_0,VDD,Metal1,7.4490,177.0610,1.199999
FILLER_41_1094,VDD,Metal1,532.5690,170.6980,1.199981
FILLER_41_1087,VDD,Metal1,529.2090,170.6980,1.199981
FILLER_41_1080,VDD,Metal1,525.8490,170.6980,1.199981
FILLER_41_1073,VDD,Metal1,522.4890,170.6980,1.199981
FILLER_41_1066,VDD,Metal1,519.1290,170.6980,1.199981
FILLER_41_1059,VDD,Metal1,515.7690,170.6980,1.199982
FILLER_41_1052,VDD,Metal1,512.4090,170.6980,1.199982
FILLER_41_1045,VDD,Metal1,509.0490,170.6980,1.199982
FILLER_41_1038,VDD,Metal1,505.6890,170.6980,1.199982
FILLER_41_1031,VDD,Metal1,502.3290,170.6980,1.199982
FILLER_41_1024,VDD,Metal1,498.9690,170.6980,1.199983
FILLER_41_1017,VDD,Metal1,495.6090,170.6980,1.199983
FILLER_41_1010,VDD,Metal1,492.2490,170.6980,1.199983
FILLER_41_1003,VDD,Metal1,488.8890,170.6980,1.199983
FILLER_41_996,VDD,Metal1,485.5290,170.6980,1.199983
FILLER_41_989,VDD,Metal1,482.1690,170.6980,1.199984
FILLER_41_982,VDD,Metal1,478.8090,170.6980,1.199984
FILLER_41_975,VDD,Metal1,475.4490,170.6980,1.199984
FILLER_41_968,VDD,Metal1,472.0890,170.6980,1.199977
FILLER_41_961,VDD,Metal1,468.7290,170.6980,1.199967
FILLER_41_954,VDD,Metal1,465.3690,170.6980,1.199957
FILLER_41_947,VDD,Metal1,462.0090,170.6980,1.199946
FILLER_41_940,VDD,Metal1,458.6490,170.6980,1.199936
FILLER_41_933,VDD,Metal1,455.2890,170.6980,1.199925
FILLER_41_926,VDD,Metal1,451.9290,170.6980,1.199915
FILLER_41_919,VDD,Metal1,448.5690,170.6980,1.199905
FILLER_41_830,VDD,Metal1,404.6400,170.1000,1.199909
FILLER_41_826,VDD,Metal1,403.2110,170.6960,1.199977
FILLER_41_819,VDD,Metal1,400.5690,170.6980,1.199985
FILLER_41_812,VDD,Metal1,397.2090,170.6980,1.199994
FILLER_41_799,VDD,Metal1,389.5200,170.1000,1.199991
FILLER_41_795,VDD,Metal1,388.3310,170.6960,1.199991
FILLER_41_788,VDD,Metal1,385.6890,170.6980,1.199984
FILLER_41_781,VDD,Metal1,382.3290,170.6980,1.199984
FILLER_41_774,VDD,Metal1,378.9690,170.6980,1.199984
FILLER_41_767,VDD,Metal1,375.6090,170.6980,1.199983
FILLER_41_760,VDD,Metal1,372.2490,170.6980,1.199983
FILLER_41_753,VDD,Metal1,368.8890,170.6980,1.199982
FILLER_41_746,VDD,Metal1,365.5290,170.6980,1.199982
FILLER_41_739,VDD,Metal1,362.1690,170.6980,1.199982
FILLER_41_729,VDD,Metal1,357.3690,170.6980,1.199981
FILLER_41_722,VDD,Metal1,354.0090,170.6980,1.199980
FILLER_41_715,VDD,Metal1,350.6490,170.6980,1.199978
FILLER_41_708,VDD,Metal1,347.2890,170.6980,1.199977
FILLER_41_701,VDD,Metal1,343.9290,170.6980,1.199975
FILLER_41_694,VDD,Metal1,340.5690,170.6980,1.199974
FILLER_41_678,VDD,Metal1,332.8890,170.6980,1.199972
FILLER_41_664,VDD,Metal1,325.4510,170.6960,1.199977
FILLER_41_657,VDD,Metal1,322.8090,170.6980,1.199978
FILLER_41_650,VDD,Metal1,319.4490,170.6980,1.199974
FILLER_41_643,VDD,Metal1,316.0890,170.6980,1.199961
FILLER_41_636,VDD,Metal1,312.7290,170.6980,1.199949
FILLER_41_610,VDD,Metal1,298.8000,170.1000,1.199893
FILLER_41_606,VDD,Metal1,297.6110,170.6960,1.199934
FILLER_41_599,VDD,Metal1,294.9690,170.6980,1.199940
FILLER_41_591,VDD,Metal1,290.4110,170.6960,1.199942
FILLER_41_584,VDD,Metal1,287.7690,170.6980,1.199942
FILLER_41_577,VDD,Metal1,284.4090,170.6980,1.199944
FILLER_41_570,VDD,Metal1,281.0490,170.6980,1.199946
FILLER_41_563,VDD,Metal1,277.6890,170.6980,1.199948
FILLER_41_556,VDD,Metal1,274.3290,170.6980,1.199950
FILLER_41_549,VDD,Metal1,270.9690,170.6980,1.199952
FILLER_41_542,VDD,Metal1,267.6090,170.6980,1.199954
FILLER_41_535,VDD,Metal1,264.2490,170.6980,1.199956
FILLER_41_521,VDD,Metal1,256.3200,170.1000,1.199967
FILLER_41_514,VDD,Metal1,254.1690,170.6980,1.199967
FILLER_41_507,VDD,Metal1,250.8090,170.6980,1.199967
FILLER_41_502,VDD,Metal1,246.9600,170.1000,1.199967
FILLER_41_498,VDD,Metal1,245.7710,170.6960,1.199968
FILLER_41_491,VDD,Metal1,243.1290,170.6980,1.199954
FILLER_41_484,VDD,Metal1,239.7690,170.6980,1.199946
